,V_1,V_2,V_3
0,Virage Appartement A Vendre,115 000 000  ,Plateau
1,Immeuble r+ 2 à la cité millionnaire,95 000 000  ,Plateau
2,Villa djilor fimela,150 000 000  ,Plateau
3,A vendre des appartements à Sacré Cœur Keur Gorgui,155 000 000  ,Cité Keur Gorgui
4,Appartements grand standing à vendre,63 000 000  ,Nord Foire
5,vente d'appartement de type F4,146 000 000  ,Almadies
6,vente d'appartement de type F5,156 000 000  ,Ngor
7,vente d'appartement haut standing ultra luxueuse,156 000 000  ,Almadies
8,Vente Appartement Grand Standing,146 000 000  ,Almadies
14,Appartement F4 avec ascenseur à vendre Nord foire,65 000 000  ,Nord Foire
15,vente d'appartement à Diamniadio,29 000 000  ,Diamniadio
16,vente d'appartement à Diamniadio,,Diamniadio
17,Immeubles à vendre à Yoff Apecsy,280 000 000  ,Yoff
18,APPARTEMENT HAUT SATNDING A HANN MARINAS VOILE D'OR,141 000 000  ,Hann Bel-Air
19,Bel appartement à la voile d’or,90 000 000  ,Hann Bel-Air
20,FABULEUX APPARTEMENT A HANN MARINAS VOILE D'OR,175 000 000  ,Hann Bel-Air
21,Immeubles à vendre â Yoff Apecsy près du centre aéré de la BCAO,,Yoff
22,VENTE D'UN IMMEUBLE,350 000 000  ,Maristes
27,Programme résidentiel,58 000 000  ,Sicap Foire
28,Conception des plans architecturaux,1 000 000  ,Cambérène
29,Villa à vendre,450 000 000  ,Point E
30,Appartement à vendre au Point E,140 000 000  ,Point E
31,Appartement à vendre à Amitié 2,125 000 000  ,Amitié
32,Studio meublé  Cite Keur Gorgui,30 000  ,Cité Keur Gorgui
33,Vente villa - Amitié 2,125 000 000  ,Amitié
34,Villa à vendre-Amitié 2,125 000 000  ,Amitié
35,ssd solution,120,Dakar
36,Appartement à vendre à Amitié 2,125 000 000  ,Amitié
37,Appartement à vendre-Amitié 2,125 000 000  ,Amitié
44,Appartement à vendre à Amitié 2,125 000 000  ,Dakar
45,Appartement de standing 2 chambres salon,30 000 000  ,Fass
46,APPARTEMENT A VENDRE AUX MAMELLES,100 000 000  ,Dakar
47,Immeuble en vente à Saly,210 000 000  ,Saly
48,APPARETEMENT A LOUER A SICAP FOIRE,200 000  ,Sicap Foire
49,APPARTEMENT A VENDRE A VIRAGE,116 000 000  ,Virage
50,DUPLEX A LOUER,700 000  ,Ouakam
51,Appartement à vendre,150 000 000  ,Plateau
58,APPARTEMENT A VENDRE AUX ALMADIES,340 000 000  ,Point E
59,APPARTEMENT A VENDRE A LA VDN,55 000 000  ,VDN
60,APPARTEMENT  À VENDRE À YOFF VIRAGE,130 000 000  ,Yoff
61,Appartement de 76m2 à vendre à la Cité Mixta,40 000 000  ,Nord Foire
